Person,Role,Website,Link,Notes
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 268,
,,"The London Stage 1940-1949: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 419,
,,Theatricalia,http://theatricalia.com/person/2fn/james-wellman,
"Woodman, David",actor,,,
,,Theatricalia,http://theatricalia.com/person/2bp/david-woodman,
,,The London Stage 1940-1949 by J.P. Wearing -- found on GoogleBooks,"https://books.google.com/books?id=mreCBAAAQBAJ&pg=PA419&lpg=PA419&dq=Woodman,+David+as+you+like+it&source=bl&ots=YloBEkChdj&sig=TJaAPzlN6NIzIZrAEou8a3ifV0c&hl=en&sa=X&ved=0ahUKEwj3v9LGzYfLAhWM5iYKHTxuDlsQ6AEIMTAF#v=onepage&q=Woodman%2C%20David%20as%20you%20like%20it&f=false",
"Retey, Peter, 1925-2015",actor,,,
,,IMDb,http://www.imdb.com/name/nm1561743/,
,,Theatricalia,http://theatricalia.com/person/2m6/peter-retey,
"Bassett, Tarn -- born Tara G. Bassett",actor,,,
,,IMDb,http://www.imdb.com/name/nm1753992/,
,,Theatricalia,http://theatricalia.com/person/t3s/tarn-bassett,
"Wells, Veronica, 1929-",actor,,,
,,IMDb,http://www.imdb.com/name/nm0920462/,
,,Theatricalia,http://theatricalia.com/person/2dt/veronica-wells,
"Goetz, Ruth, 1908-2001",playwright,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n86808404.html,
,,IMDb,http://www.imdb.com/name/nm0324537/,
,,Wikipedia,https://en.wikipedia.org/wiki/The_Heiress_%281947_play%29,"Not her Wikipedia page, but the play she and her husband co-wrote"
,,Theatricalia,http://theatricalia.com/person/td9/ruth-goetz,
"Goetz, Augustus, 1901-1957",playwright,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n86808405.html,
,,IMDb,http://www.imdb.com/name/nm0324499/,
,,Wikipedia,https://en.wikipedia.org/wiki/The_Heiress_%281947_play%29,"Not his Wikipedia page, but the play he -co-wrote with his wife"
,,Theatricalia,http://theatricalia.com/person/1eb4/augustus-goetz,
"Sherwood, Robert E. (Robert Emmet), 1896-1955",playwright,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n80017631.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Robert_E._Sherwood,
,,IMDb,http://www.imdb.com/name/nm0792845/,
,,Encyclopedia Britannica,http://www.britannica.com/biography/Robert-E-Sherwood,
,,Theatricalia,http://theatricalia.com/person/nc3/robert-e-sherwood,
"Berlin, Irving, 1888-1989",composer,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n50026116.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Irving_Berlin,
,,IMDb,http://www.imdb.com/name/nm0000927/,
,,Theatricalia,http://theatricalia.com/person/pqb/irving-berlin,
"Goldoni, Carlo, 1707-1793",playwright,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n79046263.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Carlo_Goldoni,
,,Theatricalia,http://theatricalia.com/person/7ax/carlo-goldoni,
"Eager, Edward, 1911-1964",composer,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n84216109.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Edward_Eager,
"Drake, Alfred, 1914-1992",playwright,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n81098962.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Alfred_Drake,
,,IMDb,http://www.imdb.com/name/nm0236848/,
,,Worldcat Identities,http://www.worldcat.org/identities/lccn-n81-98962/,
"Hart, Moss, 1904-1961",director,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n80094488.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Moss_Hart,
,,IBDb,http://www.ibdb.com/Person/View/6153,
,,Theatricalia,http://theatricalia.com/person/4tq/moss-hart,
"Robbins, Jerome, 1918-1998",choreographer,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n85173002.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Jerome_Robbins,
,,Theatricalia,http://theatricalia.com/person/wvy/jerome-robbins,
"Hunt, Hugh, 1902-1988",set designer,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Hugh_Hunt,
,,IMDb,http://www.imdb.com/name/nm0402474/,
,,Theatricalia,http://theatricalia.com/person/sm2/hugh-hunt,
"Jonson, Ben, 1573?-1637",playwright,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Ben_Jonson,
,,Worldcat Identities,http://www.worldcat.org/identities/lccn-n80-44918/,
,,Theatricalia,http://theatricalia.com/person/p9/ben-jonson,
"Rodgers, Richard, 1902-1979",composer,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Richard_Rodgers,
,,Encyclopedia Britannica,http://www.britannica.com/biography/Richard-Rodgers,
,,Theatricalia,http://theatricalia.com/person/pvc/richard-rogers,
"Hammerstein, Oscar, 1895-1960",author,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II,
,,Theatricalia,http://theatricalia.com/person/6qq/oscar-hammerstein-ii,
"Green, Dorothy, 1886-1961",actor,,,
,,LC Name Authority,,
,,IMDb,http://www.imdb.com/name/nm0337803/,
,,Theatricalia,http://theatricalia.com/person/nc/dorothy-green,
"Jeans, Ursula, 1906-1973 -- aka Ursula Jean McMinn",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Ursula_Jeans,
,,IMDb,http://www.imdb.com/name/nm0419982/,
,,Worldcat Identities,http://www.worldcat.org/identities/lccn-no91-15642/,
,,Theatricalia,http://theatricalia.com/person/jtp/ursula-jeans,
"Bashford, Jan",actor,,,
,,IMDb,http://www.imdb.com/name/nm1566353/,
,,Theatricalia,http://theatricalia.com/person/2j6/jan-bashford,
"Wickington, Pamela",actor,,,
,,The London Stage 1950-1959 by J.P. Wearing,"https://books.google.com/books?id=5g2PBAAAQBAJ&pg=PA66&lpg=PA66&dq=Wickington,+Pamela&source=bl&ots=izuH7lFVDE&sig=IQ_Fz8vc3Jlr9CXEyVUX_VmqhoA&hl=en&sa=X&ved=0ahUKEwiGm_jsy4nLAhWGPCYKHbGsAF8Q6AEIOTAG#v=onepage&q=Wickington%2C%20Pamela&f=false",
,,Theatricalia,http://theatricalia.com/person/tm7/pamela-wickington,
"Wilmer, Douglas, 1920-",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Douglas_Wilmer,
,,IMDb,http://www.imdb.com/name/nm0932811/,
,,Worldcat Identities,http://worldcat.org/identities/lccn-no90027453/,
,,Theatricalia,http://theatricalia.com/person/27x/douglas-wilmer,
"Grout, James, 1927-2012",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/James_Grout,
,,IMDb,http://www.imdb.com/name/nm0343942/,
,,Theatricalia,http://theatricalia.com/person/2g3/james-grout,
"Blatchley, John, 1922-1994",actor,,,
,,IMDb,http://www.imdb.com/name/nm3257641/bio,
,,Theatricalia,http://theatricalia.com/person/25q/john-blatchley,
"Devlin, William, 1911-1987",actor,,,
,,Theatricalia,http://theatricalia.com/person/2hw/william-devlin,
,,Wikipedia,https://en.wikipedia.org/wiki/William_Devlin_%28actor%29,
,,IMDb,http://www.imdb.com/name/nm0222831/,
"Pasco, Richard, 1926-",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Richard_Pasco,
,,IMDb,http://www.imdb.com/name/nm0664390/,
,,Theatricalia,http://theatricalia.com/person/3tk/richard-pasco,
"Clunes, Alec, 1912-1970",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Alec_Clunes,
,,IMDb,http://www.imdb.com/name/nm0167339/,
,,Theatricalia,http://theatricalia.com/person/1z3/alec-clunes,
"Davies, Rupert, 1916-1976",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Rupert_Davies,
,,IMDb,http://www.imdb.com/name/nm0203959/,
