NAME,VIAF NAME,VARIANTS NAMES,VIAF,WIKIPEDIA,WORLDCAT,LOC,IMDb,IBDb,LOC (Popular Graphic Arts),Notes
"Dreher, Virginia","Dreher, Virginia",,http://viaf.org/viaf/2391310,,http://www.worldcat.org/identities/lccn-nr99-38332/,http://id.loc.gov/authorities/names/nr99038332,,,,
"Drew, Frank Nelson, 1831-1903","Drew, Frank, 1831-","Drew, Frank",http://viaf.org/viaf/66094212/,,http://www.worldcat.org/identities/lccn-no98-107449/,http://id.loc.gov/authorities/names/no98107449.html,,https://www.ibdb.com/broadway-cast-staff/frank-drew-38521,,"Additional Worldcat entry: http://www.worldcat.org/identities/np-drew,%20frank%20nelson$1831%201903/"
"Drew, John, 1827-1862",John Drew Irish-American actor and theatre manager,John Drew,http://viaf.org/viaf/34423222/,https://en.wikipedia.org/wiki/John_Drew_(actor),http://www.worldcat.org/identities/lccn-nr2007005940/,http://id.loc.gov/authorities/names/nr2007005940,,https://www.ibdb.com/broadway-cast-staff/john-drew-sr-81198,,
"Drew, John, 1853-1927","Drew, John, 1853-1927","John Drew
John Drew, Jr.
John Drew, Jr",http://viaf.org/viaf/23236732,https://en.wikipedia.org/wiki/John_Drew_Jr.,http://www.worldcat.org/identities/lccn-n97090434/,http://id.loc.gov/authorities/names/n97090434,,https://www.ibdb.com/broadway-cast-staff/john-drew-jr-81195,,
"Drew, Louisa, 1820-1897","Drew, Louisa, 1820-1897","Drew, John,
Drew, John
Lane, Louisa,
Lane,
Louisa Lane Drew
",http://viaf.org/viaf/11927395,https://en.wikipedia.org/wiki/Louisa_Lane_Drew,http://www.worldcat.org/identities/lccn-no98-97391/,http://id.loc.gov/authorities/names/no98097391,,https://www.ibdb.com/broadway-cast-staff/louisa-lane-drew-81196,,
"Drunzer, Mlle.",,,,,,,,,,Nothing found
"Dubois, Camille, fl. 1875",,,,,,,,https://www.ibdb.com/broadway-cast-staff/camille-dubois-442016,,
"Dubois, Jean Baptiste, 1762-1817","Dubois, Jean Baptiste, 1762-1817.",,http://viaf.org/viaf/315658589,,http://www.worldcat.org/identities/viaf-315658589/,,,,,
"Duchesne, Adolphe",,,,,,,,https://www.ibdb.com/broadway-cast-staff/mons-duchesne-433789,,Tentative
"Ducrow, Andrew, 1793-1842","Ducrow, Andrew, 1793-1842",Andrew Ducrow,http://viaf.org/viaf/231723745,https://en.wikipedia.org/wiki/Andrew_Ducrow,http://www.worldcat.org/identities/lccn-n77-7292/,http://id.loc.gov/authorities/names/n77007292,,,,
"Dudley, Charlotte",,,,,,,,,,Nothing found
"Dudley, H. Bate (Henry Bate), Sir, 1745-1824","Dudley, H. Bate (Henry Bate), Sir, 1745-1824","Bate Dudley, Henry
Bate, Henry
Bate-Dudley, Rev. Sir Henry
Dudley, H. Bate
Dudley, H. Bate (Henry Bate)
Sir Henry Dudley",http://viaf.org/viaf/71732759/,"https://en.wikipedia.org/wiki/Sir_Henry_Dudley,_1st_Baronet",http://www.worldcat.org/identities/lccn-n82228540/,http://id.loc.gov/authorities/names/n82228540,,,,
"Duff, John R. 1787-1831","Duff, John R., 1787-1831","Duff,
Duff, Mr. (John)",http://viaf.org/viaf/7321224,,http://www.worldcat.org/identities/lccn-nr2001-44803/,http://id.loc.gov/authorities/names/nr2001044803,,,,
"Duff, Mary Ann, 1795-1857","Duff, Mary Ann, 1795-1857","Duff,",http://viaf.org/viaf/26999198,https://en.wikipedia.org/wiki/Mary_Ann_Duff,http://www.worldcat.org/identities/lccn-nr2002-16814/,http://id.loc.gov/authorities/names/nr2002016814,,,,
