TEI ID,TITLE,LEVEL,TYPE,PARENT NODE,URL,Notes
c49060,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c49070,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c49140,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c49290,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c49370,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c49520,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c49640,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c49710,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c49830,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50150,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50180,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50180,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50200,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50270,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50280,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
