Production,Year,Location,Source,Source Type,Link,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Most_Happy_Fella,
Major Barbara,1958,"Royal Court Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Major_Barbara,
Martha,1961,"Metropolitan Opera (New York, N.Y.)",,,,
,,,NO SOURCE,NO SOURCE,NO SOURCE,
Tannhauser,1959,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Tannh%C3%A4user_(opera),
Becket,1960,"St. James's Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/4g/becket/production/msm,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Becket,
Macbeth,1961,"American Shakespeare Theatre (Stratford, Conn.)",,,,
,,,Theatricalia,Tentative,http://theatricalia.com/play/t/macbeth/production/9j3,
Macbeth,1937,"Old Vic Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/t/macbeth/production/7er,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Macbeth,
Latin Quarter,1962,n/a,,,,
,,,NO SOURCE,NO SOURCE,NO SOURCE,
Rake's Progress,1962,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Rake's_Progress,
Shoemaker's Holiday,1947,Young Vic Theatre Company,,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Shoemaker's_Holiday,
Albatross,1938?,n/a,,,,
,,,,,,
Bartholomew Fair,1950,"Old Vic Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/49/bartholomew-fair/production/8bw,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Bartholomew_Fair,
Liar,1950,"Broadhurst Theatre (New York, N.Y.)",,,,
,,,NO SOURCE,NO SOURCE,NO SOURCE,
Show Girl,nd,n/a,,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Show_Girl,
Romeo and Juliet,1954,"Royal Shakespeare Theatre (Stratford-upon-Avon, England)",,,,
